Gene,p-value,Fold Change,log2(Fold Change)
DGCR5 /// LOC100287576,2.121416901602707e-18,2.637744231708216,1.3993046807625484
PPP4R2,2.126041820244769e-18,3.2452351249596,1.698323008678803
KMT2E-AS1,2.141540466230185e-18,2.6166773116185293,1.3877360223485957
ALPPL2,2.142809847456957e-18,2.814713108448679,1.4929878821239722
TNFRSF10B,2.1569210195408887e-18,3.463744884773755,1.7923326751496411
ATP5S,2.1663034179267916e-18,3.0757181830797435,1.6209233204326194
CHMP2B,2.1716199612153196e-18,3.2674851172395645,1.7081806648398137
LSM11,2.1818509331196282e-18,3.05701028481666,1.6121214059471702
KANSL1,2.1867598923133694e-18,3.2691624450564536,1.7089210665681986
LOC283387,2.1941043892281246e-18,3.9173204031057236,1.9698671331565194
CA14,2.1993906271344606e-18,3.623111208334093,1.857229088774859
LOC101927534,2.2018469551007377e-18,2.743343895620461,1.4559354845296058
LOC100131564,2.2041716132691426e-18,3.3802696958596377,1.7571383569681243
FAM133B /// FAM133DP,2.2053484038014424e-18,3.265642134683273,1.7073667018593273
EIF3L,2.2104821140456556e-18,3.274929523401165,1.7114638601359906
RP5-1068B5.3,2.2249698505432234e-18,2.879523108798986,1.5258299000218414
PAXBP1,2.229429106467824e-18,3.253522682508207,1.702002611769774
LOC100128922,2.2358118780715808e-18,3.034681255927221,1.6015449927108798
SPAST,2.2450032567436124e-18,3.233991883722191,1.6933160581163245
PAPD4,2.2591803586808722e-18,3.266251456424594,1.707635862844514
TANK,2.273956965156725e-18,3.2485943180558867,1.6998155922756468
RAD21,2.2751900728550705e-18,3.273408881795184,1.710793820804605
PIGH,2.2820868058321266e-18,3.0823024516156337,1.6240084335713991
ERMARD,2.2823054674408695e-18,3.2214294219702464,1.6877009872197122
SNRNP27,2.29101428357111e-18,3.2266610890196574,1.6900420529200457
TNFSF11,2.298674674649321e-18,6.415951277089236,2.6816631859685445
RPS6KA1,2.299662272748375e-18,3.244546214682784,1.6980167156338766
LIN52,2.303210938911446e-18,3.2082997032618636,1.6818089174205126
ABCA2,2.308314533695172e-18,2.412571901118592,1.2705719392061998
DEK,2.312275494397636e-18,3.2758531053658655,1.7118706656139515
LINC00567,2.318337615914635e-18,2.5749278509784075,1.3645320088030712
HERC4,2.3245615556917293e-18,3.183628987956581,1.6706722176583524
LINC01023,2.3338416170407472e-18,2.719825455571438,1.4435140696883335
SCARF2,2.3354579679982805e-18,2.6936697738889253,1.4295729967637176
DDX60,2.339402472585374e-18,3.441557370144344,1.7830615596207486
